ggap,Ikir_coef,cm,K_o,I_app,Vm_0,Vm_1,Vm_2,Vm_3,Vm_4,Vm_5,Vm_6,Vm_7,Vm_8,Vm_9,Vm_10,Vm_11,Vm_12,Vm_13,Vm_14,Vm_15,Vm_16,Vm_17,Vm_18,Vm_19,Vm_20,Vm_21,Vm_22,Vm_23,Vm_24,Vm_25,Vm_26,Vm_27,Vm_28,Vm_29,Vm_30,Vm_31,Vm_32,Vm_33,Vm_34,Vm_35,Vm_36,Vm_37,Vm_38,Vm_39,Vm_40,Vm_41,Vm_42,Vm_43,Vm_44,Vm_45,Vm_46,Vm_47,Vm_48,Vm_49,Vm_50,Vm_51,Vm_52,Vm_53,Vm_54,Vm_55,Vm_56,Vm_57,Vm_58,Vm_59,Vm_60,Vm_61,Vm_62,Vm_63,Vm_64,Vm_65,Vm_66,Vm_67,Vm_68,Vm_69,Vm_70,Vm_71,Vm_72,Vm_73,Vm_74,Vm_75,Vm_76,Vm_77,Vm_78,Vm_79,Vm_80,Vm_81,Vm_82,Vm_83,Vm_84,Vm_85,Vm_86,Vm_87,Vm_88,Vm_89,Vm_90,Vm_91,Vm_92,Vm_93,Vm_94,Vm_95,Vm_96,Vm_97,Vm_98,Vm_99,Vm_100,Vm_101,Vm_102,Vm_103,Vm_104,Vm_105,Vm_106,Vm_107,Vm_108,Vm_109,Vm_110,Vm_111,Vm_112,Vm_113,Vm_114,Vm_115,Vm_116,Vm_117,Vm_118,Vm_119,Vm_120,Vm_121,Vm_122,Vm_123,Vm_124,Vm_125,Vm_126,Vm_127,Vm_128,Vm_129,Vm_130,Vm_131,Vm_132,Vm_133,Vm_134,Vm_135,Vm_136,Vm_137,Vm_138,Vm_139,Vm_140,Vm_141,Vm_142,Vm_143,Vm_144,Vm_145,Vm_146,Vm_147,Vm_148,Vm_149,Vm_150,Vm_151,Vm_152,Vm_153,Vm_154,Vm_155,Vm_156,Vm_157,Vm_158,Vm_159,Vm_160,Vm_161,Vm_162,Vm_163,Vm_164,Vm_165,Vm_166,Vm_167,Vm_168,Vm_169,Vm_170,Vm_171,Vm_172,Vm_173,Vm_174,Vm_175,Vm_176,Vm_177,Vm_178,Vm_179,Vm_180,Vm_181,Vm_182,Vm_183,Vm_184,Vm_185,Vm_186,Vm_187,Vm_188,Vm_189,Vm_190,Vm_191,Vm_192,Vm_193,Vm_194,Vm_195,Vm_196,Vm_197,Vm_198,Vm_199
23.4787,0.855316,9.53544,6.84328,14.9372,-80,-25.2045,-30.0316,-34.7669,-39.3506,-43.7353,-47.8154,-51.4631,-54.5836,-57.1503,-59.1981,-60.7965,-62.0252,-62.9597,-63.6654,-64.1955,-64.5923,-64.8885,-65.1092,-65.2734,-65.3954,-65.4861,-65.5534,-65.6033,-65.6404,-65.6679,-65.6883,-65.7034,-65.7146,-65.7229,-65.729,-65.7336,-65.737,-65.7395,-65.7414,-65.7427,-65.7438,-65.7445,-65.7451,-65.7455,-65.7458,-65.746,-65.7462,-65.7463,-65.7464,-65.7465,-65.7465,-65.7466,-65.7466,-65.7466,-65.7466,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467,-65.7467
31.8466,0.74298,12.8217,3.58551,-80.5662,40,-21.3037,-22.5752,-23.6147,-24.5177,-25.3022,-25.9839,-26.5765,-27.0916,-27.5395,-27.929,-28.2677,-28.5623,-28.8185,-29.0415,-29.2354,-29.4042,-29.551,-29.6788,-29.79,-29.8868,-29.971,-30.0443,-30.1081,-30.1636,-30.2119,-30.254,-30.2906,-30.3225,-30.3502,-30.3744,-30.3954,-30.4137,-30.4296,-30.4435,-30.4556,-30.4661,-30.4752,-30.4832,-30.4901,-30.4961,-30.5014,-30.506,-30.5099,-30.5134,-30.5164,-30.519,-30.5213,-30.5233,-30.5251,-30.5266,-30.5279,-30.529,-30.53,-30.5309,-30.5316,-30.5323,-30.5329,-30.5334,-30.5338,-30.5342,-30.5345,-30.5348,-30.535,-30.5352,-30.5354,-30.5356,-30.5357,-30.5359,-30.536,-30.5361,-30.5361,-30.5362,-30.5363,-30.5363,-30.5364,-30.5364,-30.5365,-30.5365,-30.5365,-30.5365,-30.5366,-30.5366,-30.5366,-30.5366,-30.5366,-30.5366,-30.5366,-30.5366,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367,-30.5367
29.6458,0.559171,11.6725,3.3201,-95.8663,40,-21.33,-22.6198,-23.6672,-24.5711,-25.3514,-26.0251,-26.6067,-27.1089,-27.5426,-27.9172,-28.2407,-28.5202,-28.7615,-28.97,-29.1502,-29.3058,-29.4402,-29.5564,-29.6567,-29.7434,-29.8183,-29.8831,-29.939,-29.9873,-30.0291,-30.0652,-30.0963,-30.1233,-30.1466,-30.1667,-30.184,-30.1991,-30.212,-30.2233,-30.233,-30.2413,-30.2486,-30.2548,-30.2602,-30.2649,-30.2689,-30.2724,-30.2754,-30.278,-30.2803,-30.2822,-30.2839,-30.2853,-30.2866,-30.2877,-30.2886,-30.2894,-30.2901,-30.2907,-30.2913,-30.2917,-30.2921,-30.2924,-30.2927,-30.293,-30.2932,-30.2934,-30.2935,-30.2937,-30.2938,-30.2939,-30.294,-30.2941,-30.2942,-30.2942,-30.2943,-30.2943,-30.2943,-30.2944,-30.2944,-30.2944,-30.2944,-30.2945,-30.2945,-30.2945,-30.2945,-30.2945,-30.2945,-30.2945,-30.2945,-30.2945,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946,-30.2946
13.3186,0.741666,10.2788,1.53594,49.2913,40,-21.9529,-23.5876,-24.8661,-25.8905,-26.7113,-27.369,-27.8959,-28.3181,-28.6564,-28.9275,-29.1447,-29.3188,-29.4583,-29.57,-29.6595,-29.7313,-29.7888,-29.8349,-29.8718,-29.9014,-29.9251,-29.9441,-29.9593,-29.9715,-29.9812,-29.9891,-29.9953,-30.0004,-30.0044,-30.0076,-30.0102,-30.0123,-30.014,-30.0153,-30.0164,-30.0172,-30.0179,-30.0184,-30.0189,-30.0192,-30.0195,-30.0197,-30.0199,-30.0201,-30.0202,-30.0203,-30.0203,-30.0204,-30.0205,-30.0205,-30.0205,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0206,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207,-30.0207
1.06573,0.712851,9.72372,1.76513,47.5911,40,-25.3641,-27.8632,-29.024,-29.564,-29.8152,-29.9321,-29.9865,-30.0117,-30.0235,-30.029,-30.0315,-30.0327,-30.0333,-30.0335,-30.0336,-30.0337,-30.0337,-30.0337,-30.0337,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338,-30.0338
24.9531,0.735935,11.7014,7.50245,-60.4457,-80,-24.8751,-29.385,-33.7712,-37.9778,-41.9658,-45.6578,-48.9647,-51.822,-54.2112,-56.1572,-57.7111,-58.9343,-59.8873,-60.6244,-61.1915,-61.6261,-61.9583,-62.2116,-62.4045,-62.5512,-62.6627,-62.7474,-62.8117,-62.8605,-62.8975,-62.9256,-62.9469,-62.963,-62.9752,-62.9845,-62.9916,-62.9969,-63.0009,-63.004,-63.0063,-63.0081,-63.0094,-63.0104,-63.0112,-63.0118,-63.0122,-63.0125,-63.0128,-63.013,-63.0131,-63.0132,-63.0133,-63.0134,-63.0134,-63.0135,-63.0135,-63.0135,-63.0135,-63.0135,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136,-63.0136
0.773557,0.951231,10.5966,7.02979,-55.0259,-80,-64.4871,-66.0961,-66.4192,-66.4836,-66.4965,-66.499,-66.4995,-66.4996,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997,-66.4997
25.9603,0.917694,14.4902,7.60682,-43.2968,-80,-26.0007,-31.6468,-37.1106,-42.2625,-46.9482,-51.0048,-54.3491,-57.0017,-59.0501,-60.6041,-61.7695,-62.6368,-63.2789,-63.7527,-64.1013,-64.3575,-64.5455,-64.6833,-64.7842,-64.8582,-64.9123,-64.9519,-64.9809,-65.0021,-65.0176,-65.029,-65.0373,-65.0434,-65.0478,-65.0511,-65.0534,-65.0552,-65.0565,-65.0574,-65.0581,-65.0586,-65.0589,-65.0592,-65.0594,-65.0595,-65.0596,-65.0597,-65.0598,-65.0598,-65.0598,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599,-65.0599
23.9996,0.794101,8.21753,7.42229,76.3576,-80,-25.3196,-30.219,-35.008,-39.5892,-43.8907,-47.7975,-51.2018,-54.05,-56.3549,-58.1745,-59.5863,-60.6686,-61.4914,-62.1132,-62.5813,-62.9325,-63.1956,-63.3923,-63.5392,-63.6488,-63.7306,-63.7915,-63.8369,-63.8708,-63.896,-63.9147,-63.9287,-63.9391,-63.9469,-63.9527,-63.957,-63.9602,-63.9625,-63.9643,-63.9656,-63.9666,-63.9673,-63.9679,-63.9683,-63.9686,-63.9688,-63.969,-63.9691,-63.9692,-63.9693,-63.9693,-63.9694,-63.9694,-63.9694,-63.9694,-63.9694,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695,-63.9695
33.2236,0.856673,7.22828,3.88228,-37.842,40,-21.2361,-22.573,-23.619,-24.5315,-25.328,-26.0234,-26.6308,-27.1615,-27.6252,-28.0306,-28.3849,-28.6948,-28.9657,-29.2028,-29.4101,-29.5915,-29.7502,-29.8891,-30.0106,-30.117,-30.2101,-30.2916,-30.3629,-30.4254,-30.48,-30.5279,-30.5698,-30.6065,-30.6386,-30.6667,-30.6913,-30.7129,-30.7318,-30.7483,-30.7628,-30.7755,-30.7865,-30.7963,-30.8048,-30.8122,-30.8187,-30.8245,-30.8295,-30.8338,-30.8377,-30.841,-30.844,-30.8465,-30.8488,-30.8508,-30.8525,-30.854,-30.8553,-30.8565,-30.8575,-30.8584,-30.8592,-30.8599,-30.8605,-30.861,-30.8615,-30.8619,-30.8622,-30.8625,-30.8628,-30.863,-30.8632,-30.8634,-30.8636,-30.8637,-30.8638,-30.8639,-30.864,-30.8641,-30.8642,-30.8642,-30.8643,-30.8643,-30.8644,-30.8644,-30.8645,-30.8645,-30.8645,-30.8645,-30.8645,-30.8646,-30.8646,-30.8646,-30.8646,-30.8646,-30.8646,-30.8646,-30.8646,-30.8646,-30.8646,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647,-30.8647
